"","REF_AREA","Reference_area","TIME_PERIOD","health_status_F","health_status_B","health_status_G","upper_secondary_education","tertiary_education","below_upper_secondary_education","motor_vehicle_theft","mortality_from_transport_accidents","intentional_homicides","social_support","lack_of_social_support","feeling_lonely","life_satisfaction","satisfaction_w_relationships"
"98","FRA","France",2011,23.6,8.8,67.6,41.847446,29.767,28.385553,184.1,6.22,1.3,91.985027576,7.7798539583,7.1376639435,7.0531889489,7.8397553037
"99","FRA","France",2012,23.4,8.5,68.1,41.67841,30.856123,27.465466,175.5,5.74,1.2,91.985027576,7.7798539583,7.1376639435,7.0531889489,7.8397553037
"100","FRA","France",2013,24.3,8.7,67.1,42.740952,32.105263,25.153784,175.4,4.99,1.2,91.985027576,7.7798539583,7.1376639435,7.0531889489,7.8397553037
"101","FRA","France",2014,23.5,8.3,68.2,43.779457,33.539047,22.681496,169,5.05,1.1,88.3784517666,11.3651654837,7.1376639435,7.2543883858,7.9411174572
"102","FRA","France",2015,24.4,7.8,67.8,43.447037,34.085361,22.467602,173.1,4.93,1.3,88.3784517666,11.3651654837,7.1376639435,7.2543883858,7.9411174572
"103","FRA","France",2016,25.6,8.1,66.3,43.525806,34.582485,21.89171,245.2,4.91,1,88.3784517666,11.3651654837,7.1376639435,7.2543883858,7.9411174572
"104","FRA","France",2017,24.3,8.3,67.4,43.171093,35.213791,21.615114,230.1,3.5,1,93.1064163906,6.2519466768,7.1376639435,7.2543883858,7.9411174572
"105","FRA","France",2018,24.1,8.4,67.5,42.462482,36.897491,20.640024,211.3,3.9,1,93.1064163906,6.2519466768,7.1376639435,7.2543883858,7.9411174572
"106","FRA","France",2019,24.5,8.9,66.6,42.533596,37.904724,19.56168,206.7,3.8,1.1,93.1064163906,6.2519466768,10.7731529161,6.7923429215,7.6945949667
"107","FRA","France",2020,22.6,9.1,68.3,41.77206,39.717316,18.510624,179.2,3,1,90.77776803,9.075283963,10.7731529161,6.7923429215,7.6945949667
"108","FRA","France",2022,24.9,10,65.1,41.6559906,41.64321136,16.70079613,193.6,3.6,1.1,90.77776803,9.075283963,10.7731529161,6.9669646335,7.6945949667
"109","GBR","United Kingdom",2014,21.1,9.1,69.9,36.947582,42.217449,20.83497,12.2,2.75,0.9,93.2232276365,6.6487059872,5.38074,7.61,8.4759386456
"110","GBR","United Kingdom",2015,21.6,8.7,69.8,35.419685,44.197987,20.38233,135,2.74,1,93.2232276365,6.6487059872,5.38074,7.65,8.4759386456
"111","GBR","United Kingdom",2016,22.2,8.9,69,34.980217,45.766762,19.253021,155.8,2.63,1.2,93.2232276365,6.6487059872,5.38074,7.68,8.4759386456
"112","GBR","United Kingdom",2017,18.1,7.1,74.8,35.424564,45.744305,18.831131,177.3,2.44,1.2,93.1860380662,6.3492404099,5.38074,7.69,8.4759386456
"113","GBR","United Kingdom",2018,19.4,7.5,73.2,33.510891,45.781677,20.707432,186.9,2.3,1.1,93.1860380662,6.3492404099,5.5498986382,7.71,8.4759386456
"114","GRC","Greece",2014,15.8,10.8,73.5,40.160664,28.105659,31.733679,229.4,8.76,1,82.2602538988,17.6605854264,6.2959517933,6.4376863334,7.0797476746
"115","GRC","Greece",2015,15.6,10,74.4,41.162418,29.057495,29.780088,245.1,8.51,0.8,82.2602538988,17.6605854264,6.2959517933,6.4376863334,7.0797476746
"116","GRC","Greece",2016,15.7,10.4,73.9,41.418648,30.231607,28.349747,242.9,9.16,0.8,82.2602538988,17.6605854264,6.2959517933,6.4376863334,7.0797476746
"117","GRC","Greece",2017,15.6,10.4,74,41.681881,31.027514,27.290607,316.4,8.19,0.7,80.9771264191,18.7092226142,6.2959517933,6.4376863334,7.0797476746
"118","GRC","Greece",2018,14.5,9.3,76.2,41.629566,31.739904,26.630527,223.3,7.76,0.9,80.9771264191,18.7092226142,6.2959517933,6.4376863334,7.0797476746
